activityDateType,contributionCode,contributionID,countryCode,donor,donorcommitment,donorpledge,donorreceived,donorwriteoff,latestDate,flag,donortype,regionName,statusCode,year
2,06-DC-AND-001,1,AND,Andorra,25316.46,25316.46,25440,0,2018-01-16T22:51:30.42,https://docs.unocha.org/sites/dms/cerf/flags/AND.png,"Member State","Southern Europe",3,2006
2,06-DC-ATG-002,2,ATG,"Antigua and Barbuda",5000,5000,5000,0,2018-01-16T22:51:50.833,https://docs.unocha.org/sites/dms/cerf/flags/ATG.png,"Member State","Latin America and the Caribbean",3,2006
2,06-DC-ARM-003,3,ARM,Armenia,5000,5000,5000,0,2017-12-07T01:06:59.61,https://docs.unocha.org/sites/dms/cerf/flags/ARM.png,"Member State","Western Asia",3,2006
2,06-DC-AUS-004,4,AUS,Australia,7575757.58,7575757.58,7600000,0,2018-01-16T22:52:11.913,https://docs.unocha.org/sites/dms/cerf/flags/AUS.png,"Member State","Australia and New Zealand",3,2006
2,06-DC-AZE-005,5,AZE,Azerbaijan,20000,20000,20000,0,2017-12-07T01:06:13.07,https://docs.unocha.org/sites/dms/cerf/flags/AZE.png,"Member State","Western Asia",3,2006
2,06-DC-BGD-006,6,BGD,Bangladesh,5000,5000,5000,0,2018-01-16T22:52:33.68,https://docs.unocha.org/sites/dms/cerf/flags/BGD.png,"Member State","Southern Asia",3,2006
2,06-DC-BEL-007,7,BEL,Belgium,2666666.67,2666666.67,2666194.01,0,2018-01-16T22:52:56.127,https://docs.unocha.org/sites/dms/cerf/flags/BEL.png,"Member State","Western Europe",3,2006
2,06-DC-CAN-008,8,CAN,Canada,21891891.89,21891891.89,21941309.26,0,2018-01-16T22:53:19.693,https://docs.unocha.org/sites/dms/cerf/flags/CAN.png,"Member State","Northern Americas",3,2006
2,06-DC-HRV-009,9,HRV,Croatia,5000,5000,5000,0,2018-01-26T20:47:25.333,https://docs.unocha.org/sites/dms/cerf/flags/HRV.png,"Member State","Southern Europe",3,2006
2,06-DC-CZE-010,10,CZE,"Czech Republic",113327.29,113327.29,113301.61,0,2018-01-16T22:54:18.31,https://docs.unocha.org/sites/dms/cerf/flags/CZE.png,"Member State","Eastern Europe",3,2006
2,06-DC-DNK-011,11,DNK,Denmark,8403361.34,8403361.34,8401243.38,0,2018-01-16T22:54:40.247,https://docs.unocha.org/sites/dms/cerf/flags/DNK.png,"Member State","Northern Europe",3,2006
2,06-DC-PRV-012,12,PRV,"Disaster Resource Network",10000,10000,10000,0,2018-01-26T20:48:45.713,https://docs.unocha.org/sites/dms/cerf/flags/PRV.png,Private,,3,2006
2,06-DC-DJI-013,13,DJI,Djibouti,2000,2000,2000,0,2018-01-26T20:49:09.177,https://docs.unocha.org/sites/dms/cerf/flags/DJI.png,"Member State","Eastern Africa",3,2006
2,06-DC-ECU-014,14,ECU,Ecuador,20000,20000,20000,0,2018-01-17T19:05:06.603,https://docs.unocha.org/sites/dms/cerf/flags/ECU.png,"Member State","Latin America and the Caribbean",3,2006
2,06-DC-EGY-015,15,EGY,Egypt,15000,15000,15000,0,2018-01-26T20:49:28.853,https://docs.unocha.org/sites/dms/cerf/flags/EGY.png,"Member State","Nothern Africa",3,2006
2,06-DC-EST-016,16,EST,Estonia,24000,24000,24000,0,2017-12-07T01:00:10.283,https://docs.unocha.org/sites/dms/cerf/flags/EST.png,"Member State","Northern Europe",3,2006
2,06-DC-EST-017,17,EST,Estonia,28102,28102,28102,0,2018-01-17T20:05:14.607,https://docs.unocha.org/sites/dms/cerf/flags/EST.png,"Member State","Northern Europe",3,2006
2,06-DC-FIN-018,18,FIN,Finland,4761904.76,4761904.76,5154000,0,2018-01-26T20:51:46.03,https://docs.unocha.org/sites/dms/cerf/flags/FIN.png,"Member State","Northern Europe",3,2006
2,06-DC-FRA-019,19,FRA,France,625000,625000,629350,0,2018-01-26T20:52:01.94,https://docs.unocha.org/sites/dms/cerf/flags/FRA.png,"Member State","Western Europe",3,2006
